,Alouatta_caraya,Ateles_geoffroyi,Callimico_goeldii,Callithrix_geoffroyi,Callithrix_jacchus,Cebuella_pygmaea,Cercopithecus_neglectus,Colobus_guereza,Eulemur_macaco,Galago_moholi,Galago_senegalensis,Gorilla_gorilla,Hylobates_lar,Lemur_catta,Leontopithecus_chrysomelas,Leontopithecus_rosalia,Macaca_fascicularis,Macaca_fuscata,Macaca_nigra,Macaca_silenus,Mandrillus_sphinx,Mico_argentatus,Microcebus_murinus,Nycticebus_coucang,Nycticebus_pygmaeus,Pan_troglodytes,Papio_hamadryas,Propithecus_coquereli,Saguinus_bicolor,Saguinus_imperator,Saguinus_midas,Saguinus_oedipus,Saimiri_sciureus,Sapajus_apella,Theropithecus_gelada,Trachypithecus_auratus,Trachypithecus_cristatus,Trachypithecus_francoisi,Varecia_rubra,Varecia_variegata
Alouatta_caraya,0,-0.154796511627907,-0.070199275362319,-0.001008064516129,0.006859756097561,-0.0175304878048781,-0.0044642857142857,-0.0099871134020619,-0.16875,-0.03125,0.0160984848484848,0.0013992537313433,-0.127840909090909,-0.099897540983607,-0.086397058823529,-0.0243055555555556,0.03125,0.0079941860465116,0.0034722222222222,0.0018382352941176,-0.0131944444444444,0.03125,-0.214364035087719,-0.0520833333333333,-0.193239795918367,0.0207236842105263,0.0215412621359223,-0.04875,-0.00875,0.03125,0.03125,-0.0433768656716418,-0.0204741379310345,0.03125,0.0120192307692308,-0.005787037037037,0.03125,-0.06875,-0.104343220338983,-0.139802631578947
Ateles_geoffroyi,0.154796511627907,0,0.084597236265588,0.153788447111778,0.161656267725468,0.137266023823029,0.150332225913621,0.144809398225845,-0.013953488372093,0.123546511627907,0.170894996476392,0.15619576535925,0.026955602536998,0.0548989706443,0.068399452804378,0.130490956072351,0.186046511627907,0.162790697674419,0.158268733850129,0.156634746922025,0.141602067183463,0.186046511627907,-0.059567523459812,0.102713178294574,-0.03844328429046,0.175520195838433,0.176337773763829,0.106046511627907,0.146046511627907,0.186046511627907,0.186046511627907,0.111419645956265,0.134322373696872,0.186046511627907,0.166815742397138,0.14900947459087,0.186046511627907,0.086046511627907,0.050453291288924,0.01499388004896
Callimico_goeldii,0.070199275362319,-0.084597236265588,0,0.06919121084619,0.07705903145988,0.0526687875574409,0.0657349896480333,0.0602121619602571,-0.098550724637681,0.038949275362319,0.0862977602108038,0.0715985290936623,-0.05764163372859,-0.029698265621288,-0.01619778346121,0.0458937198067634,0.101449275362319,0.0781934614088306,0.0736714975845412,0.0720375106564366,0.0570048309178746,0.101449275362319,-0.1441647597254,0.0181159420289857,-0.123040520556048,0.0909229595728453,0.0917405374982413,0.021449275362319,0.061449275362319,0.101449275362319,0.101449275362319,0.0268224096906772,0.0497251374312845,0.101449275362319,0.0822185061315498,0.064412238325282,0.101449275362319,0.00144927536231899,-0.034143944976664,-0.069603356216628
Callithrix_geoffroyi,0.001008064516129,-0.153788447111778,-0.06919121084619,0,0.00786782061369,-0.0165224232887491,-0.0034562211981567,-0.00897904888593291,-0.167741935483871,-0.030241935483871,0.0171065493646138,0.0024073182474723,-0.12683284457478,-0.098889476467478,-0.0853889943074,-0.0232974910394266,0.032258064516129,0.0090022505626406,0.0044802867383512,0.0028462998102466,-0.0121863799283154,0.032258064516129,-0.21335597057159,-0.0510752688172043,-0.192231731402238,0.0217317487266553,0.0225493266520513,-0.047741935483871,-0.007741935483871,0.032258064516129,0.032258064516129,-0.0423688011555128,-0.0194660734149055,0.032258064516129,0.0130272952853598,-0.004778972520908,0.032258064516129,-0.067741935483871,-0.103335155822854,-0.138794567062818
Callithrix_jacchus,-0.006859756097561,-0.161656267725468,-0.07705903145988,-0.00786782061369,0,-0.0243902439024391,-0.0113240418118467,-0.0168468694996229,-0.175609756097561,-0.038109756097561,0.0092387287509238,-0.0054605023662177,-0.13470066518847,-0.106757297081168,-0.09325681492109,-0.0311653116531166,0.024390243902439,0.0011344299489506,-0.0033875338753388,-0.0050215208034434,-0.0200542005420054,0.024390243902439,-0.22122379118528,-0.0589430894308943,-0.200099552015928,0.0138639281129653,0.0146815060383613,-0.055609756097561,-0.015609756097561,0.024390243902439,0.024390243902439,-0.0502366217692028,-0.0273338940285955,0.024390243902439,0.0051594746716698,-0.012646793134598,0.024390243902439,-0.075609756097561,-0.111202976436544,-0.146662387676508
Cebuella_pygmaea,0.0175304878048781,-0.137266023823029,-0.0526687875574409,0.0165224232887491,0.0243902439024391,0,0.0130662020905924,0.0075433744028162,-0.151219512195122,-0.0137195121951219,0.0336289726533629,0.0189297415362214,-0.110310421286031,-0.0823670531787289,-0.0688665710186509,-0.0067750677506775,0.0487804878048781,0.0255246738513897,0.0210027100271003,0.0193687230989957,0.0043360433604337,0.0487804878048781,-0.196833547282841,-0.0345528455284552,-0.175709308113489,0.0382541720154044,0.0390717499408004,-0.0312195121951219,0.0087804878048781,0.0487804878048781,0.0487804878048781,-0.0258463778667637,-0.0029436501261564,0.0487804878048781,0.0295497185741089,0.0117434507678411,0.0487804878048781,-0.0512195121951219,-0.0868127325341049,-0.122272143774069
Cercopithecus_neglectus,0.0044642857142857,-0.150332225913621,-0.0657349896480333,0.0034562211981567,0.0113240418118467,-0.0130662020905924,0,-0.00552282768777621,-0.164285714285714,-0.0267857142857143,0.0205627705627705,0.005863539445629,-0.123376623376623,-0.0954332552693213,-0.0819327731092433,-0.0198412698412699,0.0357142857142857,0.0124584717607973,0.0079365079365079,0.0063025210084033,-0.0087301587301587,0.0357142857142857,-0.209899749373433,-0.0476190476190476,-0.188775510204081,0.025187969924812,0.026005547850208,-0.0442857142857143,-0.0042857142857143,0.0357142857142857,0.0357142857142857,-0.0389125799573561,-0.0160098522167488,0.0357142857142857,0.0164835164835165,-0.0013227513227513,0.0357142857142857,-0.0642857142857143,-0.0998789346246973,-0.135338345864661
Colobus_guereza,0.0099871134020619,-0.144809398225845,-0.0602121619602571,0.00897904888593291,0.0168468694996229,-0.0075433744028162,0.00552282768777621,0,-0.158762886597938,-0.0212628865979381,0.0260855982505467,0.0113863671334052,-0.117853795688847,-0.0899104275815451,-0.0764099454214671,-0.0143184421534937,0.0412371134020619,0.0179812994485735,0.0134593356242841,0.0118253486961795,-0.00320733104238249,0.0412371134020619,-0.204376921685657,-0.0420962199312714,-0.183252682516305,0.0307107976125882,0.0315283755379842,-0.0387628865979381,0.0012371134020619,0.0412371134020619,0.0412371134020619,-0.0333897522695799,-0.0104870245289726,0.0412371134020619,0.0220063441712927,0.0042000763650249,0.0412371134020619,-0.0587628865979381,-0.0943561069369211,-0.129815518176885
Eulemur_macaco,0.16875,0.013953488372093,0.098550724637681,0.167741935483871,0.175609756097561,0.151219512195122,0.164285714285714,0.158762886597938,0,0.1375,0.184848484848485,0.170149253731343,0.040909090909091,0.068852459016393,0.082352941176471,0.144444444444444,0.2,0.176744186046512,0.172222222222222,0.170588235294118,0.155555555555556,0.2,-0.045614035087719,0.116666666666667,-0.024489795918367,0.189473684210526,0.190291262135922,0.12,0.16,0.2,0.2,0.125373134328358,0.148275862068966,0.2,0.180769230769231,0.162962962962963,0.2,0.1,0.064406779661017,0.028947368421053
Galago_moholi,0.03125,-0.123546511627907,-0.038949275362319,0.030241935483871,0.038109756097561,0.0137195121951219,0.0267857142857143,0.0212628865979381,-0.1375,0,0.0473484848484848,0.0326492537313433,-0.096590909090909,-0.068647540983607,-0.055147058823529,0.0069444444444444,0.0625,0.0392441860465116,0.0347222222222222,0.0330882352941176,0.0180555555555556,0.0625,-0.183114035087719,-0.0208333333333333,-0.161989795918367,0.0519736842105263,0.0527912621359223,-0.0175,0.0225,0.0625,0.0625,-0.0121268656716418,0.0107758620689655,0.0625,0.0432692307692308,0.025462962962963,0.0625,-0.0375,-0.073093220338983,-0.108552631578947
