species1,species2,Trait Difference,Trait CI1,Trait CI2
Alouatta_caraya,Alouatta_caraya,0,[0.00-0.12],[0.00-0.12]
Ateles_geoffroyi,Alouatta_caraya,0.155,[0.08-0.31],[0.00-0.12]
Callimico_goeldii,Alouatta_caraya,0.07,[0.04-0.18],[0.00-0.12]
Callithrix_geoffroyi,Alouatta_caraya,0.001,[0.00-0.12],[0.00-0.12]
Callithrix_jacchus,Alouatta_caraya,0.007,[0.00-0.09],[0.00-0.12]
Cebuella_pygmaea,Alouatta_caraya,0.018,[0.00-0.13],[0.00-0.12]
Cercopithecus_neglectus,Alouatta_caraya,0.004,[0.00-0.13],[0.00-0.12]
Colobus_guereza,Alouatta_caraya,0.01,[0.01-0.09],[0.00-0.12]
Eulemur_macaco,Alouatta_caraya,0.169,[0.08-0.35],[0.00-0.12]
Galago_moholi,Alouatta_caraya,0.031,[0.01-0.16],[0.00-0.12]
Galago_senegalensis,Alouatta_caraya,0.016,[0.00-0.06],[0.00-0.12]
Gorilla_gorilla,Alouatta_caraya,0.001,[0.00-0.08],[0.00-0.12]
Hylobates_lar,Alouatta_caraya,0.128,[0.07-0.28],[0.00-0.12]
Lemur_catta,Alouatta_caraya,0.1,[0.09-0.18],[0.00-0.12]
Leontopithecus_chrysomelas,Alouatta_caraya,0.086,[0.04-0.22],[0.00-0.12]
Leontopithecus_rosalia,Alouatta_caraya,0.024,[0.02-0.11],[0.00-0.12]
Macaca_fascicularis,Alouatta_caraya,0.031,[0.00-0.05],[0.00-0.12]
Macaca_fuscata,Alouatta_caraya,0.008,[0.00-0.09],[0.00-0.12]
Macaca_nigra,Alouatta_caraya,0.003,[0.00-0.10],[0.00-0.12]
Macaca_silenus,Alouatta_caraya,0.002,[0.00-0.08],[0.00-0.12]
Mandrillus_sphinx,Alouatta_caraya,0.013,[0.00-0.12],[0.00-0.12]
Mico_argentatus,Alouatta_caraya,0.031,[0.00-0.09],[0.00-0.12]
Microcebus_murinus,Alouatta_caraya,0.214,[0.14-0.36],[0.00-0.12]
Nycticebus_coucang,Alouatta_caraya,0.052,[0.01-0.22],[0.00-0.12]
Nycticebus_pygmaeus,Alouatta_caraya,0.193,[0.12-0.35],[0.00-0.12]
Pan_troglodytes,Alouatta_caraya,0.021,[0.00-0.04],[0.00-0.12]
Papio_hamadryas,Alouatta_caraya,0.022,[0.00-0.04],[0.00-0.12]
Propithecus_coquereli,Alouatta_caraya,0.049,[0.01-0.21],[0.00-0.12]
Saguinus_bicolor,Alouatta_caraya,0.009,[0.00-0.15],[0.00-0.12]
Saguinus_imperator,Alouatta_caraya,0.031,[0.00-0.05],[0.00-0.12]
Saguinus_midas,Alouatta_caraya,0.031,[0.00-0.08],[0.00-0.12]
Saguinus_oedipus,Alouatta_caraya,0.043,[0.04-0.12],[0.00-0.12]
Saimiri_sciureus,Alouatta_caraya,0.02,[0.02-0.10],[0.00-0.12]
Sapajus_apella,Alouatta_caraya,0.031,[0.00-0.07],[0.00-0.12]
Theropithecus_gelada,Alouatta_caraya,0.012,[0.00-0.07],[0.00-0.12]
Trachypithecus_auratus,Alouatta_caraya,0.006,[0.00-0.14],[0.00-0.12]
Trachypithecus_cristatus,Alouatta_caraya,0.031,[0.00-0.07],[0.00-0.12]
Trachypithecus_francoisi,Alouatta_caraya,0.069,[0.02-0.22],[0.00-0.12]
Varecia_rubra,Alouatta_caraya,0.104,[0.06-0.23],[0.00-0.12]
Varecia_variegata,Alouatta_caraya,0.14,[0.09-0.26],[0.00-0.12]
Alouatta_caraya,Ateles_geoffroyi,0.155,[0.00-0.12],[0.08-0.31]
Ateles_geoffroyi,Ateles_geoffroyi,0,[0.08-0.31],[0.08-0.31]
Callimico_goeldii,Ateles_geoffroyi,0.085,[0.04-0.18],[0.08-0.31]
Callithrix_geoffroyi,Ateles_geoffroyi,0.154,[0.00-0.12],[0.08-0.31]
Callithrix_jacchus,Ateles_geoffroyi,0.162,[0.00-0.09],[0.08-0.31]
Cebuella_pygmaea,Ateles_geoffroyi,0.137,[0.00-0.13],[0.08-0.31]
Cercopithecus_neglectus,Ateles_geoffroyi,0.15,[0.00-0.13],[0.08-0.31]
Colobus_guereza,Ateles_geoffroyi,0.145,[0.01-0.09],[0.08-0.31]
Eulemur_macaco,Ateles_geoffroyi,0.014,[0.08-0.35],[0.08-0.31]
Galago_moholi,Ateles_geoffroyi,0.124,[0.01-0.16],[0.08-0.31]
Galago_senegalensis,Ateles_geoffroyi,0.171,[0.00-0.06],[0.08-0.31]
Gorilla_gorilla,Ateles_geoffroyi,0.156,[0.00-0.08],[0.08-0.31]
Hylobates_lar,Ateles_geoffroyi,0.027,[0.07-0.28],[0.08-0.31]
Lemur_catta,Ateles_geoffroyi,0.055,[0.09-0.18],[0.08-0.31]
Leontopithecus_chrysomelas,Ateles_geoffroyi,0.068,[0.04-0.22],[0.08-0.31]
Leontopithecus_rosalia,Ateles_geoffroyi,0.13,[0.02-0.11],[0.08-0.31]
Macaca_fascicularis,Ateles_geoffroyi,0.186,[0.00-0.05],[0.08-0.31]
Macaca_fuscata,Ateles_geoffroyi,0.163,[0.00-0.09],[0.08-0.31]
Macaca_nigra,Ateles_geoffroyi,0.158,[0.00-0.10],[0.08-0.31]
Macaca_silenus,Ateles_geoffroyi,0.157,[0.00-0.08],[0.08-0.31]
Mandrillus_sphinx,Ateles_geoffroyi,0.142,[0.00-0.12],[0.08-0.31]
Mico_argentatus,Ateles_geoffroyi,0.186,[0.00-0.09],[0.08-0.31]
Microcebus_murinus,Ateles_geoffroyi,0.06,[0.14-0.36],[0.08-0.31]
Nycticebus_coucang,Ateles_geoffroyi,0.103,[0.01-0.22],[0.08-0.31]
Nycticebus_pygmaeus,Ateles_geoffroyi,0.038,[0.12-0.35],[0.08-0.31]
Pan_troglodytes,Ateles_geoffroyi,0.176,[0.00-0.04],[0.08-0.31]
Papio_hamadryas,Ateles_geoffroyi,0.176,[0.00-0.04],[0.08-0.31]
Propithecus_coquereli,Ateles_geoffroyi,0.106,[0.01-0.21],[0.08-0.31]
Saguinus_bicolor,Ateles_geoffroyi,0.146,[0.00-0.15],[0.08-0.31]
Saguinus_imperator,Ateles_geoffroyi,0.186,[0.00-0.05],[0.08-0.31]
Saguinus_midas,Ateles_geoffroyi,0.186,[0.00-0.08],[0.08-0.31]
Saguinus_oedipus,Ateles_geoffroyi,0.111,[0.04-0.12],[0.08-0.31]
Saimiri_sciureus,Ateles_geoffroyi,0.134,[0.02-0.10],[0.08-0.31]
Sapajus_apella,Ateles_geoffroyi,0.186,[0.00-0.07],[0.08-0.31]
Theropithecus_gelada,Ateles_geoffroyi,0.167,[0.00-0.07],[0.08-0.31]
Trachypithecus_auratus,Ateles_geoffroyi,0.149,[0.00-0.14],[0.08-0.31]
Trachypithecus_cristatus,Ateles_geoffroyi,0.186,[0.00-0.07],[0.08-0.31]
Trachypithecus_francoisi,Ateles_geoffroyi,0.086,[0.02-0.22],[0.08-0.31]
Varecia_rubra,Ateles_geoffroyi,0.05,[0.06-0.23],[0.08-0.31]
Varecia_variegata,Ateles_geoffroyi,0.015,[0.09-0.26],[0.08-0.31]
Alouatta_caraya,Callimico_goeldii,0.07,[0.00-0.12],[0.04-0.18]
Ateles_geoffroyi,Callimico_goeldii,0.085,[0.08-0.31],[0.04-0.18]
Callimico_goeldii,Callimico_goeldii,0,[0.04-0.18],[0.04-0.18]
