"taxa","mrca_node","n_species","phylopic_UUID"
"Cebidae",44,13,"105a39bd-1c4a-45ca-9ed8-cc807ec08869"
"Atelidae",56,2,"c97add16-c237-4f6f-be78-4e0addfc5720"
"Cercopithecidae",58,12,"20c8c1f6-6e7d-4a0a-aaa9-d363d93c527c"
"Hominidae",70,2,"2a2c6c1f-bdb8-464b-bcf5-5f02d9a5ec87"
"Hylobatidae",30,1,"0174801d-15a6-4668-bfe0-4c421fbe51e8"
"Lemuridae",73,4,"4f74da08-60ed-4add-8322-3bdb47289af8"
"Indriidae",35,1,"2b59643b-f345-4c0e-9851-79c05a319641"
"Cheirogaleidae",36,1,"2921c76c-e22a-4cde-bb40-0bed906cea5f"
"Lorisidae",78,2,"24a5d2d8-3471-4600-bca6-7da162729989"
"Galagidae",79,2,"63e2bf71-b2a2-4b87-8730-529b9401cc79"
