,x
Alouatta_caraya,<span style='color:#000000;'>Alouatta_caraya</span>
Ateles_geoffroyi,<span style='color:#D73027;'>Ateles_geoffroyi</span>
Callimico_goeldii,<span style='color:#D73027;'>Callimico_goeldii</span>
Callithrix_geoffroyi,<span style='color:#000000;'>Callithrix_geoffroyi</span>
Callithrix_jacchus,<span style='color:#000000;'>Callithrix_jacchus</span>
Cebuella_pygmaea,<span style='color:#000000;'>Cebuella_pygmaea</span>
Cercopithecus_neglectus,<span style='color:#000000;'>Cercopithecus_neglectus</span>
Colobus_guereza,<span style='color:#000000;'>Colobus_guereza</span>
Eulemur_macaco,<span style='color:#D73027;'>Eulemur_macaco</span>
Galago_moholi,<span style='color:#000000;'>Galago_moholi</span>
Galago_senegalensis,<span style='color:#1A9850;'>Galago_senegalensis</span>
Gorilla_gorilla,<span style='color:#000000;'>Gorilla_gorilla</span>
Hylobates_lar,<span style='color:#D73027;'>Hylobates_lar</span>
Lemur_catta,<span style='color:#D73027;'>Lemur_catta</span>
Leontopithecus_chrysomelas,<span style='color:#D73027;'>Leontopithecus_chrysomelas</span>
Leontopithecus_rosalia,<span style='color:#000000;'>Leontopithecus_rosalia</span>
Macaca_fascicularis,<span style='color:#1A9850;'>Macaca_fascicularis</span>
Macaca_fuscata,<span style='color:#000000;'>Macaca_fuscata</span>
Macaca_nigra,<span style='color:#000000;'>Macaca_nigra</span>
Macaca_silenus,<span style='color:#000000;'>Macaca_silenus</span>
Mandrillus_sphinx,<span style='color:#000000;'>Mandrillus_sphinx</span>
Mico_argentatus,<span style='color:#1A9850;'>Mico_argentatus</span>
Microcebus_murinus,<span style='color:#D73027;'>Microcebus_murinus</span>
Nycticebus_coucang,<span style='color:#000000;'>Nycticebus_coucang</span>
Nycticebus_pygmaeus,<span style='color:#D73027;'>Nycticebus_pygmaeus</span>
Pan_troglodytes,<span style='color:#1A9850;'>Pan_troglodytes</span>
Papio_hamadryas,<span style='color:#1A9850;'>Papio_hamadryas</span>
Propithecus_coquereli,<span style='color:#000000;'>Propithecus_coquereli</span>
Saguinus_bicolor,<span style='color:#000000;'>Saguinus_bicolor</span>
Saguinus_imperator,<span style='color:#1A9850;'>Saguinus_imperator</span>
Saguinus_midas,<span style='color:#1A9850;'>Saguinus_midas</span>
Saguinus_oedipus,<span style='color:#000000;'>Saguinus_oedipus</span>
Saimiri_sciureus,<span style='color:#000000;'>Saimiri_sciureus</span>
Sapajus_apella,<span style='color:#1A9850;'>Sapajus_apella</span>
Theropithecus_gelada,<span style='color:#1A9850;'>Theropithecus_gelada</span>
Trachypithecus_auratus,<span style='color:#000000;'>Trachypithecus_auratus</span>
Trachypithecus_cristatus,<span style='color:#1A9850;'>Trachypithecus_cristatus</span>
Trachypithecus_francoisi,<span style='color:#000000;'>Trachypithecus_francoisi</span>
Varecia_rubra,<span style='color:#D73027;'>Varecia_rubra</span>
Varecia_variegata,<span style='color:#D73027;'>Varecia_variegata</span>
