species,common_name,family,n_population,neoplasia_necropsy,neoplasia_prevalence,benign_count,benign_prevalence,n_observation,trait,body_mass,mass_g,log_body_mass,mature_f,mature_m,mature_age,MLS.anage,LQ,tax_id,trait_ci_lb,trait_ci_ub,trait_ci
Alouatta_caraya,Black howler,Atelidae,32,4,0.125,3,0.09375,1,0.03125,5.4625,5462.5,3.73739144997848,3.2,2.54,3.2,32.4,0.984631545411751,9502,6.36225594238962e-05,0.115852039252108,[0-0.12]
Ateles_geoffroyi,Black-handed spider monkey,Atelidae,43,13,0.302325581395349,5,0.116279069767442,8,0.186046511627907,7.2675,7267.5,3.86138504044247,5,5,5,47.1,1.35617225068527,9509,0.0844083412845063,0.309902097775075,[0.08-0.31]
Callimico_goeldii,Goeldi's monkey,Cebidae,69,15,0.217391304347826,8,0.115942028985507,7,0.101449275362319,0.555,555,2.74429298312268,1,1.08,1.08,22.2,1.03938709413631,9495,0.0408208811701564,0.180074302126955,[0.04-0.18]
Callithrix_geoffroyi,White-fronted marmoset,Cebidae,31,3,0.0967741935483871,2,0.0645161290322581,1,0.032258064516129,0.342,342,2.53402610605613,1.31,1.05,1.31,17.6,0.902978589935649,52231,6.62184367684061e-05,0.119386818330661,[0-0.12]
Callithrix_jacchus,Common marmoset,Cebidae,41,1,0.024390243902439,0,0,1,0.024390243902439,0.2552,255.2,2.40688067004912,1.31,1.05,1.31,22.8,1.23631779319117,9483,4.69527767274654e-05,0.0914709354519275,[0-0.09]
Cebuella_pygmaea,Pygmy marmoset,Cebidae,41,4,0.0975609756097561,2,0.0487804878048781,2,0.0487804878048781,0.124,124,2.09342168516224,1.87,1.75,1.87,18.6,1.15598437798723,9493,0.0040272340141369,0.130166654933487,[0-0.13]
Cercopithecus_neglectus,De Brazza's monkey,Cercopithecidae,28,2,0.0714285714285714,1,0.0357142857142857,1,0.0357142857142857,5.945,5945,3.77415185895471,4.41,7,7,30.8,0.921152922887957,36227,7.54165716449291e-05,0.131413591050072,[0-0.13]
Colobus_guereza,Colobus monkey,Cercopithecidae,97,10,0.103092783505155,6,0.0618556701030928,4,0.0412371134020619,9.95,9950,3.99782308074573,4,6.01,6.01,35,0.949675428550266,33548,0.0101976060206292,0.0875220898902035,[0.01-0.09]
Eulemur_macaco,Black lemur,Lemuridae,30,9,0.3,3,0.1,6,0.2,2.467,2467,3.39216914948974,1.48,0.73,1.48,37.5,1.32436293552723,30602,0.0779938590754792,0.35204689394332,[0.08-0.35]
Galago_moholi,Moholi bushbaby,Galagidae,32,3,0.09375,1,0.03125,2,0.0625,0.1692,169.2,2.228400358703,0.4,1.02,1.02,16.6,0.972828173770322,30609,0.00532221472983759,0.164579053613524,[0.01-0.16]
Galago_senegalensis,Senegal bushbaby,Galagidae,66,1,0.0151515151515152,0,0,1,0.0151515151515152,0.1922,192.2,2.28375338333253,0.66,0.82,0.82,17.1,0.978278345245565,9465,2.70561599553178e-05,0.0577160047524064,[0-0.06]
