hypothesis_id	pair	species1	species2	distance	abs_diff	pss_score
H1	1	Nycticebus_pygmaeus	Galago_senegalensis	43.1545	0.2093	2.3108
H1	2	Hylobates_lar	Pan_troglodytes	45.7765	0.1486	1.3816
H1	3	Ateles_geoffroyi	Saguinus_imperator	46.5476	0.186	1.8493
H2	1	Nycticebus_pygmaeus	Galago_senegalensis	43.1545	0.2093	2.3108
H2	2	Hylobates_lar	Pan_troglodytes	45.7765	0.1486	1.3816
H2	3	Ateles_geoffroyi	Sapajus_apella	46.5476	0.186	1.8493
H3	1	Nycticebus_pygmaeus	Galago_senegalensis	43.1545	0.2093	2.3108
H3	2	Hylobates_lar	Pan_troglodytes	45.7765	0.1486	1.3816
H3	3	Ateles_geoffroyi	Saguinus_midas	46.5476	0.186	1.8493
H4	1	Microcebus_murinus	Galago_senegalensis	99.3606	0.2305	1.1194
H4	2	Hylobates_lar	Pan_troglodytes	45.7765	0.1486	1.3816
H4	3	Ateles_geoffroyi	Saguinus_midas	46.5476	0.186	1.8493
H5	1	Microcebus_murinus	Galago_senegalensis	99.3606	0.2305	1.1194
H5	2	Hylobates_lar	Pan_troglodytes	45.7765	0.1486	1.3816
H5	3	Ateles_geoffroyi	Saguinus_imperator	46.5476	0.186	1.8493
H6	1	Microcebus_murinus	Galago_senegalensis	99.3606	0.2305	1.1194
H6	2	Hylobates_lar	Pan_troglodytes	45.7765	0.1486	1.3816
H6	3	Ateles_geoffroyi	Sapajus_apella	46.5476	0.186	1.8493
H7	1	Nycticebus_pygmaeus	Galago_senegalensis	43.1545	0.2093	2.3108
H7	2	Hylobates_lar	Trachypithecus_cristatus	62.1516	0.1591	1.1174
H7	3	Ateles_geoffroyi	Saguinus_midas	46.5476	0.186	1.8493
H8	1	Nycticebus_pygmaeus	Galago_senegalensis	43.1545	0.2093	2.3108
H8	2	Hylobates_lar	Macaca_fascicularis	62.1516	0.1591	1.1174
H8	3	Ateles_geoffroyi	Saguinus_midas	46.5476	0.186	1.8493
H9	1	Nycticebus_pygmaeus	Galago_senegalensis	43.1545	0.2093	2.3108
H9	2	Hylobates_lar	Trachypithecus_cristatus	62.1516	0.1591	1.1174
H9	3	Ateles_geoffroyi	Saguinus_imperator	46.5476	0.186	1.8493
H10	1	Nycticebus_pygmaeus	Galago_senegalensis	43.1545	0.2093	2.3108
H10	2	Hylobates_lar	Macaca_fascicularis	62.1516	0.1591	1.1174
H10	3	Ateles_geoffroyi	Saguinus_imperator	46.5476	0.186	1.8493
H11	1	Nycticebus_pygmaeus	Galago_senegalensis	43.1545	0.2093	2.3108
H11	2	Hylobates_lar	Trachypithecus_cristatus	62.1516	0.1591	1.1174
H11	3	Ateles_geoffroyi	Sapajus_apella	46.5476	0.186	1.8493
H12	1	Nycticebus_pygmaeus	Galago_senegalensis	43.1545	0.2093	2.3108
H12	2	Hylobates_lar	Macaca_fascicularis	62.1516	0.1591	1.1174
H12	3	Ateles_geoffroyi	Sapajus_apella	46.5476	0.186	1.8493
H13	1	Microcebus_murinus	Galago_senegalensis	99.3606	0.2305	1.1194
H13	2	Hylobates_lar	Macaca_fascicularis	62.1516	0.1591	1.1174
H13	3	Ateles_geoffroyi	Saguinus_midas	46.5476	0.186	1.8493
H14	1	Microcebus_murinus	Galago_senegalensis	99.3606	0.2305	1.1194
H14	2	Hylobates_lar	Trachypithecus_cristatus	62.1516	0.1591	1.1174
H14	3	Ateles_geoffroyi	Saguinus_midas	46.5476	0.186	1.8493
H15	1	Microcebus_murinus	Galago_senegalensis	99.3606	0.2305	1.1194
H15	2	Hylobates_lar	Macaca_fascicularis	62.1516	0.1591	1.1174
H15	3	Ateles_geoffroyi	Saguinus_imperator	46.5476	0.186	1.8493
H16	1	Microcebus_murinus	Galago_senegalensis	99.3606	0.2305	1.1194
H16	2	Hylobates_lar	Trachypithecus_cristatus	62.1516	0.1591	1.1174
H16	3	Ateles_geoffroyi	Saguinus_imperator	46.5476	0.186	1.8493
H17	1	Microcebus_murinus	Galago_senegalensis	99.3606	0.2305	1.1194
H17	2	Hylobates_lar	Macaca_fascicularis	62.1516	0.1591	1.1174
H17	3	Ateles_geoffroyi	Sapajus_apella	46.5476	0.186	1.8493
H18	1	Microcebus_murinus	Galago_senegalensis	99.3606	0.2305	1.1194
H18	2	Hylobates_lar	Trachypithecus_cristatus	62.1516	0.1591	1.1174
H18	3	Ateles_geoffroyi	Sapajus_apella	46.5476	0.186	1.8493
H19	1	Nycticebus_pygmaeus	Galago_senegalensis	43.1545	0.2093	2.3108
H19	2	Hylobates_lar	Papio_hamadryas	62.1516	0.1494	1.0206
H19	3	Ateles_geoffroyi	Saguinus_midas	46.5476	0.186	1.8493
H20	1	Nycticebus_pygmaeus	Galago_senegalensis	43.1545	0.2093	2.3108
H20	2	Hylobates_lar	Papio_hamadryas	62.1516	0.1494	1.0206
H20	3	Ateles_geoffroyi	Saguinus_imperator	46.5476	0.186	1.8493
