,Alouatta_caraya,Ateles_geoffroyi,Callimico_goeldii,Callithrix_geoffroyi,Callithrix_jacchus,Cebuella_pygmaea,Cercopithecus_neglectus,Colobus_guereza,Eulemur_macaco,Galago_moholi,Galago_senegalensis,Gorilla_gorilla,Hylobates_lar,Lemur_catta,Leontopithecus_chrysomelas,Leontopithecus_rosalia,Macaca_fascicularis,Macaca_fuscata,Macaca_nigra,Macaca_silenus,Mandrillus_sphinx,Mico_argentatus,Microcebus_murinus,Nycticebus_coucang,Nycticebus_pygmaeus,Pan_troglodytes,Papio_hamadryas,Propithecus_coquereli,Saguinus_bicolor,Saguinus_imperator,Saguinus_midas,Saguinus_oedipus,Saimiri_sciureus,Sapajus_apella,Theropithecus_gelada,Trachypithecus_auratus,Trachypithecus_cristatus,Trachypithecus_francoisi,Varecia_rubra,Varecia_variegata
Alouatta_caraya,0,-0.177325581395349,-0.092391304347826,0.0282258064516129,0.100609756097561,0.0274390243902439,0.0535714285714286,0.021907216494845,-0.175,0.03125,0.109848484848485,-0.083955223880597,-0.034090909090909,-0.030737704918033,0.00735294117647101,0.002777777777778,0.0709459459459459,0.0319767441860465,0.0972222222222222,0.0367647058823529,0.0361111111111111,0.075,-0.120614035087719,0.0416666666666667,-0.14030612244898,-0.043421052631579,0.0764563106796116,-0.035,0.085,0.125,0.125,-0.046641791044776,0.0474137931034483,0.009615384615385,0.105769230769231,0.087962962962963,0.0892857142857143,-0.008333333333333,-0.061440677966102,-0.085526315789474
Ateles_geoffroyi,0.177325581395349,0,0.084934277047523,0.205551387846962,0.27793533749291,0.204764605785593,0.230897009966778,0.199232797890194,0.002325581395349,0.208575581395349,0.287174066243834,0.093370357514752,0.14323467230444,0.146587876477316,0.18467852257182,0.180103359173127,0.248271527341295,0.209302325581395,0.274547803617571,0.214090287277702,0.21343669250646,0.252325581395349,0.05671154630763,0.218992248062016,0.037019458946369,0.13390452876377,0.253781892074961,0.142325581395349,0.262325581395349,0.302325581395349,0.302325581395349,0.130683790350573,0.224739374498797,0.186940966010734,0.28309481216458,0.265288544358312,0.266611295681063,0.168992248062016,0.115884903429247,0.091799265605875
Callimico_goeldii,0.092391304347826,-0.084934277047523,0,0.120617110799439,0.193001060445387,0.11983032873807,0.145962732919255,0.114298520842671,-0.082608695652174,0.123641304347826,0.202239789196311,0.00843608046722899,0.058300395256917,0.061653599429793,0.099744245524297,0.095169082125604,0.163337250293772,0.124368048533872,0.189613526570048,0.129156010230179,0.128502415458937,0.167391304347826,-0.028222730739893,0.134057971014493,-0.047914818101154,0.048970251716247,0.168847615027438,0.057391304347826,0.177391304347826,0.217391304347826,0.217391304347826,0.04574951330305,0.139805097451274,0.102006688963211,0.198160535117057,0.180354267310789,0.18167701863354,0.084057971014493,0.030950626381724,0.00686498855835199
Callithrix_geoffroyi,-0.0282258064516129,-0.205551387846962,-0.120617110799439,0,0.0723839496459481,-0.000786782061369007,0.0253456221198157,-0.0063185899567679,-0.203225806451613,0.00302419354838709,0.0816226783968719,-0.11218103033221,-0.0623167155425219,-0.0589635113696459,-0.0208728652751419,-0.0254480286738349,0.042720139494333,0.00375093773443359,0.0689964157706093,0.00853889943073999,0.00788530465949819,0.0467741935483871,-0.148839841539332,0.0134408602150538,-0.168531928900593,-0.0716468590831919,0.0482305042279987,-0.0632258064516129,0.0567741935483871,0.0967741935483871,0.0967741935483871,-0.0748675974963889,0.0191879866518354,-0.0186104218362279,0.0775434243176179,0.0597371565113501,0.0610599078341014,-0.0365591397849459,-0.0896664844177149,-0.113752122241087
Callithrix_jacchus,-0.100609756097561,-0.27793533749291,-0.193001060445387,-0.0723839496459481,0,-0.0731707317073171,-0.0470383275261324,-0.078702539602716,-0.275609756097561,-0.069359756097561,0.0092387287509238,-0.184564979978158,-0.13470066518847,-0.131347461015594,-0.09325681492109,-0.097831978319783,-0.0296638101516151,-0.0686330119115145,-0.0033875338753388,-0.0638450502152081,-0.0644986449864499,-0.025609756097561,-0.22122379118528,-0.0589430894308943,-0.240915878546541,-0.14403080872914,-0.0241534454179494,-0.135609756097561,-0.015609756097561,0.024390243902439,0.024390243902439,-0.147251547142337,-0.0531959629941127,-0.090994371482176,0.0051594746716698,-0.012646793134598,-0.0113240418118467,-0.108943089430894,-0.162050434063663,-0.186136071887035
Cebuella_pygmaea,-0.0274390243902439,-0.204764605785593,-0.11983032873807,0.000786782061369007,0.0731707317073171,0,0.0261324041811847,-0.00553180789539889,-0.202439024390244,0.0038109756097561,0.0824094604582409,-0.111394248270841,-0.0615299334811529,-0.0581767293082769,-0.0200860832137729,-0.0246612466124659,0.043506921555702,0.0045377197958026,0.0697831978319783,0.00932568149210899,0.00867208672086719,0.0475609756097561,-0.148053059477963,0.0142276422764228,-0.167745146839224,-0.0708600770218229,0.0490172862893677,-0.0624390243902439,0.0575609756097561,0.0975609756097561,0.0975609756097561,-0.0740808154350199,0.0199747687132044,-0.0178236397748589,0.0783302063789869,0.0605239385727191,0.0618466898954704,-0.0357723577235769,-0.0888797023563459,-0.112965340179718
Cercopithecus_neglectus,-0.0535714285714286,-0.230897009966778,-0.145962732919255,-0.0253456221198157,0.0470383275261324,-0.0261324041811847,0,-0.0316642120765836,-0.228571428571429,-0.0223214285714286,0.0562770562770562,-0.137526652452026,-0.0876623376623376,-0.0843091334894616,-0.0462184873949576,-0.0507936507936506,0.0173745173745173,-0.0215946843853821,0.0436507936507936,-0.0168067226890757,-0.0174603174603175,0.0214285714285714,-0.174185463659148,-0.0119047619047619,-0.193877551020409,-0.0969924812030076,0.022884882108183,-0.0885714285714286,0.0314285714285714,0.0714285714285714,0.0714285714285714,-0.100213219616205,-0.0061576354679803,-0.0439560439560436,0.0521978021978022,0.0343915343915344,0.0357142857142857,-0.0619047619047616,-0.115012106537531,-0.139097744360903
Colobus_guereza,-0.021907216494845,-0.199232797890194,-0.114298520842671,0.0063185899567679,0.078702539602716,0.00553180789539889,0.0316642120765836,0,-0.196907216494845,0.00934278350515499,0.0879412683536398,-0.105862440375442,-0.055998125585754,-0.052644921412878,-0.014554275318374,-0.019129438717067,0.0490387294511009,0.0100695276912015,0.0753150057273772,0.0148574893875079,0.0142038946162661,0.053092783505155,-0.142521251582564,0.0197594501718217,-0.162213338943825,-0.065328269126424,0.0545490941847666,-0.056907216494845,0.063092783505155,0.103092783505155,0.103092783505155,-0.068549007539621,0.0255065766086033,-0.01229183187946,0.0838620142743858,0.066055746468118,0.0673784977908693,-0.030240549828178,-0.083347894460947,-0.107433532284319
Eulemur_macaco,0.175,-0.002325581395349,0.082608695652174,0.203225806451613,0.275609756097561,0.202439024390244,0.228571428571429,0.196907216494845,0,0.20625,0.284848484848485,0.091044776119403,0.140909090909091,0.144262295081967,0.182352941176471,0.177777777777778,0.245945945945946,0.206976744186047,0.272222222222222,0.211764705882353,0.211111111111111,0.25,0.054385964912281,0.216666666666667,0.03469387755102,0.131578947368421,0.251456310679612,0.14,0.26,0.3,0.3,0.128358208955224,0.222413793103448,0.184615384615385,0.280769230769231,0.262962962962963,0.264285714285714,0.166666666666667,0.113559322033898,0.089473684210526
Galago_moholi,-0.03125,-0.208575581395349,-0.123641304347826,-0.00302419354838709,0.069359756097561,-0.0038109756097561,0.0223214285714286,-0.00934278350515499,-0.20625,0,0.0785984848484848,-0.115205223880597,-0.065340909090909,-0.061987704918033,-0.023897058823529,-0.028472222222222,0.0396959459459459,0.000726744186046499,0.0659722222222222,0.00551470588235289,0.00486111111111109,0.04375,-0.151864035087719,0.0104166666666667,-0.17155612244898,-0.074671052631579,0.0452063106796116,-0.06625,0.05375,0.09375,0.09375,-0.077891791044776,0.0161637931034483,-0.021634615384615,0.0745192307692308,0.056712962962963,0.0580357142857143,-0.039583333333333,-0.092690677966102,-0.116776315789474
Galago_senegalensis,-0.109848484848485,-0.287174066243834,-0.202239789196311,-0.0816226783968719,-0.0092387287509238,-0.0824094604582409,-0.0562770562770562,-0.0879412683536398,-0.284848484848485,-0.0785984848484848,0,-0.193803708729082,-0.143939393939394,-0.140586189766518,-0.102495543672014,-0.107070707070707,-0.0389025389025389,-0.0778717406624383,-0.0126262626262626,-0.0730837789661319,-0.0737373737373737,-0.0348484848484848,-0.230462519936204,-0.0681818181818181,-0.250154607297465,-0.153269537480064,-0.0333921741688732,-0.144848484848485,-0.0248484848484848,0.0151515151515152,0.0151515151515152,-0.156490275893261,-0.0624346917450365,-0.1002331002331,-0.004079254079254,-0.0218855218855218,-0.0205627705627705,-0.118181818181818,-0.171289162814587,-0.195374800637959
Gorilla_gorilla,0.083955223880597,-0.093370357514752,-0.00843608046722899,0.11218103033221,0.184564979978158,0.111394248270841,0.137526652452026,0.105862440375442,-0.091044776119403,0.115205223880597,0.193803708729082,0,0.049864314789688,0.053217518962564,0.091308165057068,0.086733001658375,0.154901169826543,0.115931968066644,0.181177446102819,0.12071992976295,0.120066334991708,0.158955223880597,-0.036658811207122,0.125621890547264,-0.056350898568383,0.040534171249018,0.160411534560209,0.048955223880597,0.168955223880597,0.208955223880597,0.208955223880597,0.037313432835821,0.131369016984045,0.093570608495982,0.189724454649828,0.17191818684356,0.173240938166311,0.075621890547264,0.022514545914495,-0.001571091908877
Hylobates_lar,0.034090909090909,-0.14323467230444,-0.058300395256917,0.0623167155425219,0.13470066518847,0.0615299334811529,0.0876623376623376,0.055998125585754,-0.140909090909091,0.065340909090909,0.143939393939394,-0.049864314789688,0,0.00335320417287602,0.04144385026738,0.036868686868687,0.105036855036855,0.0660676532769555,0.131313131313131,0.0708556149732619,0.0702020202020201,0.109090909090909,-0.08652312599681,0.0757575757575757,-0.106215213358071,-0.00933014354066999,0.110547219770521,-0.000909090909090998,0.119090909090909,0.159090909090909,0.159090909090909,-0.012550881953867,0.0815047021943573,0.043706293706294,0.13986013986014,0.122053872053872,0.123376623376623,0.025757575757576,-0.027349768875193,-0.051435406698565
Lemur_catta,0.030737704918033,-0.146587876477316,-0.061653599429793,0.0589635113696459,0.131347461015594,0.0581767293082769,0.0843091334894616,0.052644921412878,-0.144262295081967,0.061987704918033,0.140586189766518,-0.053217518962564,-0.00335320417287602,0,0.038090646094504,0.033515482695811,0.101683650863979,0.0627144491040795,0.127959927140255,0.0675024108003859,0.0668488160291441,0.105737704918033,-0.089876330169686,0.0724043715846997,-0.109568417530947,-0.012683347713546,0.107194015597645,-0.00426229508196702,0.115737704918033,0.155737704918033,0.155737704918033,-0.015904086126743,0.0781514980214813,0.040353089533418,0.136506935687264,0.118700667880996,0.120023419203747,0.0224043715847,-0.030702973048069,-0.054788610871441
Leontopithecus_chrysomelas,-0.00735294117647101,-0.18467852257182,-0.099744245524297,0.0208728652751419,0.09325681492109,0.0200860832137729,0.0462184873949576,0.014554275318374,-0.182352941176471,0.023897058823529,0.102495543672014,-0.091308165057068,-0.04144385026738,-0.038090646094504,0,-0.004575163398693,0.0635930047694749,0.0246238030095755,0.0898692810457512,0.0294117647058819,0.0287581699346401,0.067647058823529,-0.12796697626419,0.0343137254901957,-0.147659063625451,-0.05077399380805,0.0691033695031406,-0.042352941176471,0.077647058823529,0.117647058823529,0.117647058823529,-0.053994732221247,0.0400608519269773,0.00226244343891399,0.0984162895927598,0.080610021786492,0.0819327731092433,-0.015686274509804,-0.068793619142573,-0.092879256965945
Leontopithecus_rosalia,-0.002777777777778,-0.180103359173127,-0.095169082125604,0.0254480286738349,0.097831978319783,0.0246612466124659,0.0507936507936506,0.019129438717067,-0.177777777777778,0.028472222222222,0.107070707070707,-0.086733001658375,-0.036868686868687,-0.033515482695811,0.004575163398693,0,0.0681681681681679,0.0291989664082685,0.0944444444444442,0.0339869281045749,0.0333333333333331,0.072222222222222,-0.123391812865497,0.0388888888888887,-0.143083900226758,-0.046198830409357,0.0736785329018336,-0.037777777777778,0.082222222222222,0.122222222222222,0.122222222222222,-0.049419568822554,0.0446360153256703,0.00683760683760699,0.102991452991453,0.085185185185185,0.0865079365079363,-0.011111111111111,-0.06421845574388,-0.088304093567252
