"species","family","neoplasia_prevalence","malignant_prevalence","LQ","taxa_mean","taxa_median","taxa_sd","taxa_q25","taxa_q75","value","g_mean","g_median","g_sd","g_q25","g_q75","outlier","extreme_outlier","global_label","taxa_outlier","extreme_taxa_outlier","taxa_label"
"Alouatta_caraya","Atelidae",0.125,0.03125,0.984631545411751,0.213662790697674,0.213662790697674,0.125388121082498,0.169331395348837,0.257994186046512,0.125,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","normal","normal","normal","low_extreme"
"Ateles_geoffroyi","Atelidae",0.302325581395349,0.186046511627907,1.35617225068527,0.213662790697674,0.213662790697674,0.125388121082498,0.169331395348837,0.257994186046512,0.302325581395349,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","high_extreme","normal","normal","high_extreme"
"Callimico_goeldii","Cebidae",0.217391304347826,0.101449275362319,1.03938709413631,0.0869691239830848,0.0967741935483871,0.0646034805018302,0.04,0.117647058823529,0.217391304347826,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","high_extreme","normal","normal","high_extreme"
"Callithrix_geoffroyi","Cebidae",0.0967741935483871,0.032258064516129,0.902978589935649,0.0869691239830848,0.0967741935483871,0.0646034805018302,0.04,0.117647058823529,0.0967741935483871,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","normal","normal","normal","normal"
"Callithrix_jacchus","Cebidae",0.024390243902439,0.024390243902439,1.23631779319117,0.0869691239830848,0.0967741935483871,0.0646034805018302,0.04,0.117647058823529,0.024390243902439,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","low_extreme","normal","normal","low_extreme"
"Cebuella_pygmaea","Cebidae",0.0975609756097561,0.0487804878048781,1.15598437798723,0.0869691239830848,0.0967741935483871,0.0646034805018302,0.04,0.117647058823529,0.0975609756097561,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","normal","normal","normal","normal"
"Cercopithecus_neglectus","Cercopithecidae",0.0714285714285714,0.0357142857142857,0.921152922887957,0.0666966450184884,0.0627413127413128,0.035076111030147,0.0367063492063492,0.0899224806201551,0.0714285714285714,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","normal","normal","normal","normal"
"Colobus_guereza","Cercopithecidae",0.103092783505155,0.0412371134020619,0.949675428550266,0.0666966450184884,0.0627413127413128,0.035076111030147,0.0367063492063492,0.0899224806201551,0.103092783505155,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","normal","normal","normal","high_extreme"
"Eulemur_macaco","Lemuridae",0.3,0.2,1.32436293552723,0.213176174668402,0.198483496877788,0.062073512838872,0.178764934704085,0.232894736842105,0.3,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","high_extreme","normal","normal","high_extreme"
"Galago_moholi","Galagidae",0.09375,0.0625,0.972828173770322,0.0544507575757576,0.0544507575757576,0.0555775216273517,0.0348011363636364,0.0741003787878788,0.09375,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","normal","normal","normal","high_extreme"
"Galago_senegalensis","Galagidae",0.0151515151515152,0.0151515151515152,0.978278345245565,0.0544507575757576,0.0544507575757576,0.0555775216273517,0.0348011363636364,0.0741003787878788,0.0151515151515152,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","low_extreme","normal","normal","low_extreme"
