,x
Alouatta_caraya,Alouatta_caraya
Ateles_geoffroyi,Ateles_geoffroyi
Callimico_goeldii,Callimico_goeldii
Callithrix_geoffroyi,Callithrix_geoffroyi
Callithrix_jacchus,Callithrix_jacchus
Cebuella_pygmaea,Cebuella_pygmaea
Cercopithecus_neglectus,Cercopithecus_neglectus
Colobus_guereza,Colobus_guereza
Eulemur_macaco,Eulemur_macaco
Galago_moholi,Galago_moholi
Galago_senegalensis,Galago_senegalensis
Gorilla_gorilla,Gorilla_gorilla
Hylobates_lar,Hylobates_lar
Lemur_catta,Lemur_catta
Leontopithecus_chrysomelas,Leontopithecus_chrysomelas
Leontopithecus_rosalia,Leontopithecus_rosalia
Macaca_fascicularis,Macaca_fascicularis
Macaca_fuscata,Macaca_fuscata
Macaca_nigra,Macaca_nigra
Macaca_silenus,Macaca_silenus
Mandrillus_sphinx,Mandrillus_sphinx
Mico_argentatus,Mico_argentatus
Microcebus_murinus,Microcebus_murinus
Nycticebus_coucang,Nycticebus_coucang
Nycticebus_pygmaeus,Nycticebus_pygmaeus
Pan_troglodytes,Pan_troglodytes
Papio_hamadryas,Papio_hamadryas
Propithecus_coquereli,Propithecus_coquereli
Saguinus_bicolor,Saguinus_bicolor
Saguinus_imperator,Saguinus_imperator
Saguinus_midas,Saguinus_midas
Saguinus_oedipus,Saguinus_oedipus
Saimiri_sciureus,Saimiri_sciureus
Sapajus_apella,Sapajus_apella
Theropithecus_gelada,Theropithecus_gelada
Trachypithecus_auratus,Trachypithecus_auratus
Trachypithecus_cristatus,Trachypithecus_cristatus
Trachypithecus_francoisi,Trachypithecus_francoisi
Varecia_rubra,Varecia_rubra
Varecia_variegata,Varecia_variegata
