species,n_population,n_observation,Trait,Trait CI Lower Bound,Trait CI Upper Bound,Trait CI
Alouatta_caraya,32,4,0.125,0.0335237218359123,0.252573497629146,[0.03-0.25]
Ateles_geoffroyi,43,13,0.302,0.175869629241609,0.442628252539522,[0.18-0.44]
Callimico_goeldii,69,15,0.217,0.128170743692434,0.319160858198794,[0.13-0.32]
Callithrix_geoffroyi,31,3,0.097,0.0181230815452321,0.216262136506408,[0.02-0.22]
Callithrix_jacchus,41,1,0.024,4.69527767274654e-05,0.0914709354519275,[0-0.09]
Cebuella_pygmaea,41,4,0.098,0.0254717144564413,0.200342605405249,[0.03-0.2]
Cercopithecus_neglectus,28,2,0.071,0.00620699977065738,0.18647698409436,[0.01-0.19]
Colobus_guereza,97,10,0.103,0.0499339833887551,0.16899740082866,[0.05-0.17]
Eulemur_macaco,30,9,0.3,0.152494532088254,0.467286007314685,[0.15-0.47]
Galago_moholi,32,3,0.094,0.0174857255170213,0.209957455922558,[0.02-0.21]
Galago_senegalensis,66,1,0.015,2.70561599553178e-05,0.0577160047524064,[0-0.06]
Gorilla_gorilla,67,14,0.209,0.120155734324225,0.311064499827234,[0.12-0.31]
Hylobates_lar,44,7,0.159,0.0662158815925952,0.275666772011294,[0.07-0.28]
Lemur_catta,244,38,0.156,0.112697925252209,0.203165011205152,[0.11-0.2]
Leontopithecus_chrysomelas,51,6,0.118,0.0433930085414775,0.215122793216635,[0.04-0.22]
Leontopithecus_rosalia,90,11,0.122,0.0621866562845742,0.195283382246493,[0.06-0.2]
Macaca_fascicularis,37,2,0.054,0.00451596014887435,0.143504899802175,[0-0.14]
Macaca_fuscata,43,4,0.093,0.0241800164899547,0.191534510824328,[0.02-0.19]
Macaca_nigra,36,1,0.028,5.49719720521614e-05,0.103582670720407,[0-0.1]
Macaca_silenus,68,6,0.088,0.031917080030165,0.163514641891754,[0.03-0.16]
Mandrillus_sphinx,45,4,0.089,0.0230127556475903,0.18346692026325,[0.02-0.18]
Mico_argentatus,20,1,0.05,0.000118732524035412,0.179634582890624,[0-0.18]
Microcebus_murinus,57,14,0.246,0.143143776921009,0.361679877334054,[0.14-0.36]
Nycticebus_coucang,24,2,0.083,0.00744065839317517,0.215076015702136,[0.01-0.22]
Nycticebus_pygmaeus,49,13,0.265,0.152087921083665,0.393040317967431,[0.15-0.39]
Pan_troglodytes,95,16,0.168,0.0996442095455808,0.247977064642223,[0.1-0.25]
Papio_hamadryas,103,5,0.049,0.0148748076124849,0.0961960679003443,[0.01-0.1]
Propithecus_coquereli,25,4,0.16,0.0444228371819369,0.316667454426006,[0.04-0.32]
Saguinus_bicolor,25,1,0.04,8.7486963786008e-05,0.146129731147202,[0-0.15]
Saguinus_imperator,36,0,0,0,0.0516036429663788,[0-0.05]
Saguinus_midas,22,0,0,0,0.0826924701398397,[0-0.08]
Saguinus_oedipus,134,23,0.172,0.112248414771341,0.238624750552247,[0.11-0.24]
Saimiri_sciureus,116,9,0.078,0.0353433960210314,0.131243026482192,[0.04-0.13]
Sapajus_apella,26,3,0.115,0.022156245170804,0.254442101092003,[0.02-0.25]
Theropithecus_gelada,52,1,0.019,3.54977155416648e-05,0.0727517084305247,[0-0.07]
Trachypithecus_auratus,27,1,0.037,7.90619029304496e-05,0.135978776603369,[0-0.14]
Trachypithecus_cristatus,28,1,0.036,7.54165716449291e-05,0.131413591050072,[0-0.13]
Trachypithecus_francoisi,30,4,0.133,0.0360533257722992,0.268089216873517,[0.04-0.27]
Varecia_rubra,59,11,0.186,0.0974433956354568,0.291715927519924,[0.1-0.29]
Varecia_variegata,76,16,0.211,0.126292518022371,0.30645447721356,[0.13-0.31]
