species1,species2,n_population1,n_observation1,trait1,trait_ci_lb1,trait_ci_ub1,n_population2,n_observation2,trait2,trait_ci_lb2,trait_ci_ub2,trait_diff,trait_overlap,diff_value,overlap_use
Alouatta_caraya,Alouatta_caraya,32,4,0.125,0.0335237218359123,0.252573497629146,32,4,0.125,0.0335237218359123,0.252573497629146,0,TRUE,0,TRUE
Ateles_geoffroyi,Alouatta_caraya,43,13,0.302325581395349,0.175869629241609,0.442628252539522,32,4,0.125,0.0335237218359123,0.252573497629146,0.177325581395349,TRUE,0.177325581395349,TRUE
Callimico_goeldii,Alouatta_caraya,69,15,0.217391304347826,0.128170743692434,0.319160858198794,32,4,0.125,0.0335237218359123,0.252573497629146,0.092391304347826,TRUE,0.092391304347826,TRUE
Callithrix_geoffroyi,Alouatta_caraya,31,3,0.0967741935483871,0.0181230815452321,0.216262136506408,32,4,0.125,0.0335237218359123,0.252573497629146,-0.0282258064516129,TRUE,-0.0282258064516129,TRUE
Callithrix_jacchus,Alouatta_caraya,41,1,0.024390243902439,4.69527767274654e-05,0.0914709354519275,32,4,0.125,0.0335237218359123,0.252573497629146,-0.100609756097561,TRUE,-0.100609756097561,TRUE
Cebuella_pygmaea,Alouatta_caraya,41,4,0.0975609756097561,0.0254717144564413,0.200342605405249,32,4,0.125,0.0335237218359123,0.252573497629146,-0.0274390243902439,TRUE,-0.0274390243902439,TRUE
Cercopithecus_neglectus,Alouatta_caraya,28,2,0.0714285714285714,0.00620699977065738,0.18647698409436,32,4,0.125,0.0335237218359123,0.252573497629146,-0.0535714285714286,TRUE,-0.0535714285714286,TRUE
Colobus_guereza,Alouatta_caraya,97,10,0.103092783505155,0.0499339833887551,0.16899740082866,32,4,0.125,0.0335237218359123,0.252573497629146,-0.021907216494845,TRUE,-0.021907216494845,TRUE
Eulemur_macaco,Alouatta_caraya,30,9,0.3,0.152494532088254,0.467286007314685,32,4,0.125,0.0335237218359123,0.252573497629146,0.175,TRUE,0.175,TRUE
Galago_moholi,Alouatta_caraya,32,3,0.09375,0.0174857255170213,0.209957455922558,32,4,0.125,0.0335237218359123,0.252573497629146,-0.03125,TRUE,-0.03125,TRUE
Galago_senegalensis,Alouatta_caraya,66,1,0.0151515151515152,2.70561599553178e-05,0.0577160047524064,32,4,0.125,0.0335237218359123,0.252573497629146,-0.109848484848485,TRUE,-0.109848484848485,TRUE
Gorilla_gorilla,Alouatta_caraya,67,14,0.208955223880597,0.120155734324225,0.311064499827234,32,4,0.125,0.0335237218359123,0.252573497629146,0.083955223880597,TRUE,0.083955223880597,TRUE
Hylobates_lar,Alouatta_caraya,44,7,0.159090909090909,0.0662158815925952,0.275666772011294,32,4,0.125,0.0335237218359123,0.252573497629146,0.034090909090909,TRUE,0.034090909090909,TRUE
Lemur_catta,Alouatta_caraya,244,38,0.155737704918033,0.112697925252209,0.203165011205152,32,4,0.125,0.0335237218359123,0.252573497629146,0.030737704918033,TRUE,0.030737704918033,TRUE
Leontopithecus_chrysomelas,Alouatta_caraya,51,6,0.117647058823529,0.0433930085414775,0.215122793216635,32,4,0.125,0.0335237218359123,0.252573497629146,-0.00735294117647101,TRUE,-0.00735294117647101,TRUE
Leontopithecus_rosalia,Alouatta_caraya,90,11,0.122222222222222,0.0621866562845742,0.195283382246493,32,4,0.125,0.0335237218359123,0.252573497629146,-0.002777777777778,TRUE,-0.002777777777778,TRUE
Macaca_fascicularis,Alouatta_caraya,37,2,0.0540540540540541,0.00451596014887435,0.143504899802175,32,4,0.125,0.0335237218359123,0.252573497629146,-0.0709459459459459,TRUE,-0.0709459459459459,TRUE
Macaca_fuscata,Alouatta_caraya,43,4,0.0930232558139535,0.0241800164899547,0.191534510824328,32,4,0.125,0.0335237218359123,0.252573497629146,-0.0319767441860465,TRUE,-0.0319767441860465,TRUE
Macaca_nigra,Alouatta_caraya,36,1,0.0277777777777778,5.49719720521614e-05,0.103582670720407,32,4,0.125,0.0335237218359123,0.252573497629146,-0.0972222222222222,TRUE,-0.0972222222222222,TRUE
Macaca_silenus,Alouatta_caraya,68,6,0.0882352941176471,0.031917080030165,0.163514641891754,32,4,0.125,0.0335237218359123,0.252573497629146,-0.0367647058823529,TRUE,-0.0367647058823529,TRUE
Mandrillus_sphinx,Alouatta_caraya,45,4,0.0888888888888889,0.0230127556475903,0.18346692026325,32,4,0.125,0.0335237218359123,0.252573497629146,-0.0361111111111111,TRUE,-0.0361111111111111,TRUE
Mico_argentatus,Alouatta_caraya,20,1,0.05,0.000118732524035412,0.179634582890624,32,4,0.125,0.0335237218359123,0.252573497629146,-0.075,TRUE,-0.075,TRUE
Microcebus_murinus,Alouatta_caraya,57,14,0.245614035087719,0.143143776921009,0.361679877334054,32,4,0.125,0.0335237218359123,0.252573497629146,0.120614035087719,TRUE,0.120614035087719,TRUE
Nycticebus_coucang,Alouatta_caraya,24,2,0.0833333333333333,0.00744065839317517,0.215076015702136,32,4,0.125,0.0335237218359123,0.252573497629146,-0.0416666666666667,TRUE,-0.0416666666666667,TRUE
