species1,species2,Trait Difference,Trait CI1,Trait CI2
Alouatta_caraya,Alouatta_caraya,0,[0.03-0.25],[0.03-0.25]
Ateles_geoffroyi,Alouatta_caraya,0.177,[0.18-0.44],[0.03-0.25]
Callimico_goeldii,Alouatta_caraya,0.092,[0.13-0.32],[0.03-0.25]
Callithrix_geoffroyi,Alouatta_caraya,0.028,[0.02-0.22],[0.03-0.25]
Callithrix_jacchus,Alouatta_caraya,0.101,[0.00-0.09],[0.03-0.25]
Cebuella_pygmaea,Alouatta_caraya,0.027,[0.03-0.20],[0.03-0.25]
Cercopithecus_neglectus,Alouatta_caraya,0.054,[0.01-0.19],[0.03-0.25]
Colobus_guereza,Alouatta_caraya,0.022,[0.05-0.17],[0.03-0.25]
Eulemur_macaco,Alouatta_caraya,0.175,[0.15-0.47],[0.03-0.25]
Galago_moholi,Alouatta_caraya,0.031,[0.02-0.21],[0.03-0.25]
Galago_senegalensis,Alouatta_caraya,0.11,[0.00-0.06],[0.03-0.25]
Gorilla_gorilla,Alouatta_caraya,0.084,[0.12-0.31],[0.03-0.25]
Hylobates_lar,Alouatta_caraya,0.034,[0.07-0.28],[0.03-0.25]
Lemur_catta,Alouatta_caraya,0.031,[0.11-0.20],[0.03-0.25]
Leontopithecus_chrysomelas,Alouatta_caraya,0.007,[0.04-0.22],[0.03-0.25]
Leontopithecus_rosalia,Alouatta_caraya,0.003,[0.06-0.20],[0.03-0.25]
Macaca_fascicularis,Alouatta_caraya,0.071,[0.00-0.14],[0.03-0.25]
Macaca_fuscata,Alouatta_caraya,0.032,[0.02-0.19],[0.03-0.25]
Macaca_nigra,Alouatta_caraya,0.097,[0.00-0.10],[0.03-0.25]
Macaca_silenus,Alouatta_caraya,0.037,[0.03-0.16],[0.03-0.25]
Mandrillus_sphinx,Alouatta_caraya,0.036,[0.02-0.18],[0.03-0.25]
Mico_argentatus,Alouatta_caraya,0.075,[0.00-0.18],[0.03-0.25]
Microcebus_murinus,Alouatta_caraya,0.121,[0.14-0.36],[0.03-0.25]
Nycticebus_coucang,Alouatta_caraya,0.042,[0.01-0.22],[0.03-0.25]
Nycticebus_pygmaeus,Alouatta_caraya,0.14,[0.15-0.39],[0.03-0.25]
Pan_troglodytes,Alouatta_caraya,0.043,[0.10-0.25],[0.03-0.25]
Papio_hamadryas,Alouatta_caraya,0.076,[0.01-0.10],[0.03-0.25]
Propithecus_coquereli,Alouatta_caraya,0.035,[0.04-0.32],[0.03-0.25]
Saguinus_bicolor,Alouatta_caraya,0.085,[0.00-0.15],[0.03-0.25]
