A1BG	ENSP00000263100
A1CF	ENSP00000378868
A2M	ENSP00000323929
A2ML1	ENSP00000299698
A3GALT2	ENSP00000475261
A4GALT	ENSP00000494127
A4GNT	ENSP00000236709
AAAS	ENSP00000209873
AACS	ENSP00000324842
AADAC	ENSP00000232892
AADACL2	ENSP00000348911
AADACL3	ENSP00000352268
AADACL4	ENSP00000365395
AADAT	ENSP00000423190
AAGAB	ENSP00000261880
AAMDC	ENSP00000436086
AAMP	ENSP00000403343
AANAT	ENSP00000250615
AAR2	ENSP00000380455
AARD	ENSP00000367528
AARS2	ENSP00000244571
AARS	ENSP00000261772
AASDH	ENSP00000205214
AASDHPPT	ENSP00000278618
AASS	ENSP00000377040
AATF	ENSP00000477848
AATK	ENSP00000324196
ABAT	ENSP00000456330
ABCA12	ENSP00000272895
ABCA13	ENSP00000411096
ABCA1	ENSP00000363868
ABCA2	ENSP00000481105
ABCA3	ENSP00000301732
ABCA4	ENSP00000359245
ABCA5	ENSP00000376443
ABCA6	ENSP00000284425
ABCA7	ENSP00000414062
ABCA8	ENSP00000467271
ABCA9	ENSP00000342216
ABCB10	ENSP00000355637
ABCB11	ENSP00000497931
ABCB1	ENSP00000265724
ABCB4	ENSP00000265723
ABCB5	ENSP00000384881
ABCB6	ENSP00000265316
ABCB7	ENSP00000496526
ABCB8	ENSP00000297504
ABCB9	ENSP00000394898
ABCC10	ENSP00000361608
ABCC11	ENSP00000349017
ABCC12	ENSP00000311030
ABCC1	ENSP00000382342
ABCC2	ENSP00000497274
ABCC3	ENSP00000285238
ABCC4	ENSP00000494609
ABCC5	ENSP00000333926
ABCC6	ENSP00000205557
ABCC8	ENSP00000494321
ABCC9	ENSP00000261200
ABCD1	ENSP00000218104
ABCD2	ENSP00000310688
ABCD3	ENSP00000359233
ABCD4	ENSP00000349396
ABCE1	ENSP00000296577
ABCF1	ENSP00000313603
ABCF2	ENSP00000287844
ABCF3	ENSP00000411471
ABCG1	ENSP00000381464
ABCG2	ENSP00000498246
ABCG4	ENSP00000481728
ABCG5	ENSP00000384513
ABCG8	ENSP00000272286
ABHD10	ENSP00000273359
ABHD11	ENSP00000222800
ABHD12B	ENSP00000336693
ABHD12	ENSP00000365725
ABHD13	ENSP00000365063
ABHD14A-ACY1	ENSP00000420487
